service_id,date,exception_type
000001,20211204,1
000001,20211205,1
000001,20211211,1
000002,20220115,1
000002,20220122,1
000003,20211218,1
000003,20220108,1
000003,20220129,1
000004,20211114,1
000004,20211121,1
000004,20211127,1
000004,20211128,1
000005,20211101,1
000005,20211107,1
000006,20211127,1
000006,20211204,1
000006,20211211,1
000007,20220107,1
000007,20220121,1
000007,20220128,1
000008,20220114,1
000009,20211107,1
000009,20211114,1
000010,20211128,1
000011,20211205,1
000012,20211106,1
000013,20211107,1
000014,20211103,1
000014,20211104,1
000014,20211109,1
000014,20211113,1
000014,20211115,1
000014,20211116,1
000014,20211117,1
000014,20211118,1
000014,20211122,1
000014,20211123,1
000014,20211124,1
000014,20211125,1
000014,20211127,1
000014,20211129,1
000014,20211130,1
000014,20211201,1
000014,20211202,1
000014,20211204,1
000014,20211206,1
000014,20211207,1
000014,20211208,1
000014,20211209,1
000014,20211211,1
000015,20211224,1
000015,20211231,1
000015,20220107,1
000015,20220121,1
000015,20220128,1
000016,20211217,1
000017,20211212,1
000017,20220109,1
000017,20220130,1
000018,20220116,1
000018,20220123,1
000019,20211121,1
000020,20211114,1
000020,20211128,1
000020,20211205,1
000021,20211101,1
000022,20211105,1
000022,20211110,1
000022,20211119,1
000022,20211126,1
000022,20211203,1
000022,20211210,1
000022,20211217,1
000022,20211224,1
000022,20211231,1
000022,20220107,1
000022,20220121,1
000022,20220128,1
000023,20211219,1
000023,20211226,1
000023,20220102,1
000023,20220109,1
000023,20220130,1
000024,20211212,1
000025,20211106,1
000025,20211111,1
000025,20211112,1
000025,20211120,1
000025,20211127,1
000025,20211204,1
000025,20211211,1
000026,20211128,1
000026,20211205,1
000027,20211105,1
000027,20211110,1
000027,20211119,1
000028,20211101,1
000028,20211107,1
000028,20211114,1
000029,20211126,1
000029,20211203,1
000029,20211210,1
000030,20211217,1
000030,20211219,1
000031,20211105,1
000031,20211119,1
000031,20211126,1
000031,20211203,1
000031,20211210,1
000032,20211101,1
000032,20211102,1
000032,20211103,1
000032,20211104,1
000032,20211108,1
000032,20211109,1
000032,20211110,1
000032,20211111,1
000032,20211114,1
000032,20211115,1
000032,20211116,1
000032,20211117,1
000032,20211118,1
000032,20211121,1
000032,20211122,1
000032,20211123,1
000032,20211124,1
000032,20211125,1
000032,20211127,1
000032,20211128,1
000032,20211129,1
000032,20211130,1
000032,20211201,1
000032,20211202,1
000032,20211204,1
000032,20211205,1
000032,20211206,1
000032,20211207,1
000032,20211208,1
000032,20211209,1
000032,20211211,1
000033,20211106,1
000033,20211107,1
000034,20211212,1
000034,20211218,1
000034,20211219,1
000034,20211226,1
000034,20220102,1
000034,20220108,1
000034,20220109,1
000034,20220129,1
000034,20220130,1
000035,20220115,1
000035,20220116,1
000035,20220122,1
000035,20220123,1
000036,20211129,1
000036,20211130,1
000036,20211201,1
000036,20211202,1
000036,20211206,1
000036,20211207,1
000036,20211208,1
000036,20211209,1
000037,20211103,1
000037,20211104,1
000037,20211109,1
000037,20211115,1
000037,20211116,1
000037,20211117,1
000037,20211118,1
000037,20211122,1
000037,20211123,1
000037,20211124,1
000037,20211125,1
000038,20211127,1
000039,20211204,1
000039,20211211,1
000040,20211218,1
000040,20211219,1
000040,20211226,1
000040,20220101,1
000040,20220102,1
000041,20211107,1
000041,20211114,1
000041,20211128,1
000041,20211205,1
000042,20211212,1
000042,20211219,1
000042,20220102,1
000042,20220109,1
000042,20220130,1
000043,20211212,1
000043,20211219,1
000043,20211226,1
000043,20220102,1
000043,20220109,1
000043,20220130,1
000044,20211114,1
000044,20211121,1
000044,20211128,1
000044,20211205,1
000045,20211213,1
000045,20211227,1
000045,20220103,1
000045,20220110,1
000045,20220124,1
000046,20220117,1
000047,20211107,1
000047,20211128,1
000047,20211205,1
000048,20211114,1
000049,20211212,1
000049,20211217,1
000049,20211218,1
000049,20211219,1
000049,20211224,1
000049,20211225,1
000049,20211231,1
000049,20220101,1
000049,20220102,1
000049,20220107,1
000049,20220108,1
000049,20220109,1
000049,20220114,1
000049,20220115,1
000049,20220116,1
000049,20220121,1
000049,20220122,1
000049,20220123,1
000049,20220128,1
000049,20220129,1
000049,20220130,1
000050,20211212,1
000050,20211217,1
000050,20211218,1
000050,20211219,1
000050,20211224,1
000050,20211226,1
000050,20211231,1
000050,20220101,1
000050,20220102,1
000050,20220107,1
000050,20220108,1
000050,20220109,1
000050,20220114,1
000050,20220115,1
000050,20220116,1
000050,20220121,1
000050,20220122,1
000050,20220123,1
000050,20220128,1
000050,20220129,1
000050,20220130,1
000051,20211107,1
000051,20211114,1
000051,20211121,1
000051,20211128,1
000051,20211205,1
000052,20211106,1
000052,20211111,1
000052,20211120,1
000052,20211127,1
000052,20211204,1
000052,20211211,1
000053,20211218,1
000053,20220101,1
000053,20220108,1
000053,20220129,1
000054,20211101,1
000054,20211114,1
000054,20211121,1
000054,20211128,1
000054,20211205,1
000055,20211106,1
000055,20211111,1
000055,20211112,1
000055,20211113,1
000055,20211127,1
000056,20220122,1
000057,20220115,1
000058,20211105,1
000058,20211110,1
000058,20211119,1
000058,20211126,1
000058,20211203,1
000058,20211210,1
000059,20211101,1
000059,20211107,1
000059,20211114,1
000059,20211121,1
000059,20211128,1
000060,20211102,1
000061,20211103,1
000061,20211104,1
000061,20211105,1
000061,20211108,1
000061,20211109,1
000061,20211110,1
000061,20211115,1
000061,20211116,1
000061,20211117,1
000061,20211118,1
000061,20211119,1
000061,20211122,1
000061,20211123,1
000061,20211124,1
000061,20211125,1
000061,20211126,1
000061,20211129,1
000061,20211130,1
000061,20211201,1
000061,20211202,1
000061,20211203,1
000061,20211206,1
000061,20211207,1
000061,20211208,1
000061,20211209,1
000061,20211210,1
000062,20220116,1
000063,20211224,1
000063,20211226,1
000063,20211231,1
000063,20220102,1
000063,20220107,1
000063,20220109,1
000063,20220114,1
000063,20220121,1
000063,20220128,1
000063,20220130,1
000064,20220123,1
000065,20211111,1
000065,20211112,1
000065,20211113,1
000065,20211127,1
000065,20211204,1
